resampling_technique;hyperparameters;accuracy;precision;recall;f1-score
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};96.05%;92.96%;99.65%;96.19%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};93.87%;90.38%;98.20%;94.13%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.60%;90.76%;99.31%;94.84%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.92%;92.94%;99.38%;96.05%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.12%;89.57%;99.86%;94.43%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.42%;90.56%;96.95%;93.65%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.02%;91.72%;98.96%;95.20%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.29%;91.44%;99.93%;95.50%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.91%;92.58%;97.65%;95.05%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.91%;92.30%;97.99%;95.06%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.22%;90.13%;99.31%;94.50%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.15%;91.48%;99.58%;95.36%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};93.63%;90.70%;97.23%;93.85%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.60%;91.97%;99.93%;95.78%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.91%;92.52%;97.71%;95.05%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.18%;89.68%;99.86%;94.50%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};93.35%;89.47%;98.27%;93.66%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};93.60%;89.12%;99.31%;93.94%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.50%;91.42%;98.20%;94.69%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};90.65%;87.82%;94.39%;90.99%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};93.94%;91.01%;97.51%;94.15%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};91.03%;85.63%;98.61%;91.66%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};93.63%;91.18%;96.61%;93.81%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.22%;90.13%;99.31%;94.50%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};93.39%;88.79%;99.31%;93.76%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.08%;91.89%;98.89%;95.26%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.32%;90.82%;98.61%;94.56%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.95%;93.11%;99.24%;96.08%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.36%;92.04%;99.31%;95.54%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.74%;92.53%;99.52%;95.90%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};92.49%;88.56%;97.58%;92.85%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};93.87%;90.53%;97.99%;94.11%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.01%;88.81%;98.41%;93.36%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};93.25%;88.96%;98.75%;93.60%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};92.49%;87.71%;98.82%;92.93%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};92.25%;88.41%;97.23%;92.61%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 32, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.39%;91.25%;98.20%;94.60%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};94.91%;92.86%;97.30%;95.03%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.77%;91.05%;99.31%;95.00%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.36%;91.08%;98.34%;94.57%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.95%;93.32%;96.81%;95.04%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};93.94%;89.83%;99.10%;94.24%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.26%;91.76%;99.45%;95.45%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.19%;93.20%;99.65%;96.32%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.32%;91.18%;98.13%;94.53%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.53%;92.50%;99.10%;95.69%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.53%;92.07%;99.65%;95.71%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.09%;93.87%;98.61%;96.18%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.36%;91.67%;99.79%;95.56%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.88%;93.39%;98.75%;95.99%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.64%;94.40%;99.17%;96.72%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.26%;92.91%;97.99%;95.38%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.08%;91.04%;97.78%;94.29%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.53%;90.29%;99.79%;94.80%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.46%;91.31%;98.27%;94.66%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.57%;92.51%;99.17%;95.72%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.08%;89.71%;99.58%;94.39%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.50%;90.43%;99.52%;94.76%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};93.49%;90.67%;96.95%;93.71%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.01%;90.82%;97.92%;94.24%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.25%;91.33%;97.78%;94.45%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.05%;91.30%;99.58%;95.26%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.74%;91.09%;99.17%;94.96%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};92.70%;89.34%;96.95%;92.99%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};93.56%;89.36%;98.89%;93.89%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.25%;90.70%;98.61%;94.49%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};93.39%;89.78%;97.92%;93.67%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.50%;90.13%;99.93%;94.78%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.43%;91.57%;97.85%;94.61%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.63%;90.77%;99.38%;94.88%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.22%;92.20%;96.61%;94.35%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};91.87%;87.25%;98.06%;92.34%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.64%;92.24%;99.65%;95.81%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};92.07%;87.48%;98.20%;92.53%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};93.15%;88.70%;98.89%;93.52%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};93.49%;88.77%;99.58%;93.86%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};93.73%;90.61%;97.58%;93.96%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.22%;91.28%;100.00%;95.44%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};91.73%;87.63%;97.16%;92.15%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.36%;90.67%;98.89%;94.60%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.47%;91.68%;100.00%;95.66%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 64, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};94.46%;90.63%;99.17%;94.71%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.33%;93.33%;99.79%;96.45%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.71%;92.42%;99.58%;95.87%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.29%;91.66%;99.65%;95.49%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.23%;93.77%;99.03%;96.33%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.33%;92.92%;98.13%;95.45%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.30%;93.38%;99.65%;96.42%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.26%;93.77%;99.10%;96.36%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.33%;94.30%;98.61%;96.41%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.02%;91.35%;99.45%;95.23%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.74%;92.75%;99.24%;95.88%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.05%;94.16%;98.20%;96.14%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};95.26%;91.86%;99.31%;95.44%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};96.78%;94.12%;99.79%;96.87%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.74%;91.41%;98.75%;94.94%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};96.19%;93.48%;99.31%;96.31%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.84%;93.02%;96.95%;94.95%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};96.02%;93.18%;99.31%;96.14%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.2, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.40%;92.59%;98.68%;95.54%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.16%;93.59%;99.10%;96.27%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};96.09%;93.07%;99.58%;96.22%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.16%;93.20%;99.58%;96.28%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.67%;92.85%;98.96%;95.81%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.43%;93.62%;99.65%;96.54%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.33%;92.58%;98.55%;95.47%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};95.50%;92.22%;99.38%;95.67%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.81%;92.82%;99.31%;95.95%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.3, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.08%;91.73%;99.10%;95.27%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.19%;93.77%;98.96%;96.29%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.64%;92.30%;99.58%;95.80%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};93.67%;89.23%;99.31%;94.00%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.71%;92.42%;99.58%;95.87%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};96.40%;93.79%;99.38%;96.50%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};94.29%;91.07%;98.20%;94.50%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};96.88%;94.31%;99.79%;96.97%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};95.36%;92.15%;99.17%;95.53%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.4, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.08%;91.52%;99.38%;95.29%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};96.37%;93.28%;99.93%;96.49%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};95.64%;93.64%;97.92%;95.73%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};96.54%;93.81%;99.65%;96.64%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};95.26%;91.86%;99.31%;95.44%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};95.95%;93.51%;98.75%;96.06%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};95.08%;91.36%;99.58%;95.29%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.63%;92.26%;97.44%;94.78%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.81%;91.11%;99.31%;95.03%
RandomOverSampler;{'batch_size': 64, 'bilstm_neuron': 128, 'dropout_rate': 0.5, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.19%;92.23%;98.68%;95.35%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};95.50%;92.94%;98.48%;95.63%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};94.18%;90.33%;98.96%;94.45%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};94.08%;90.36%;98.68%;94.34%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};93.35%;89.77%;97.85%;93.64%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 64, 'optimizer': 'adam'};94.08%;90.46%;98.55%;94.33%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.001, 'neuron': 128, 'optimizer': 'adam'};92.32%;87.76%;98.34%;92.75%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 32, 'optimizer': 'adam'};94.46%;91.10%;98.55%;94.68%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 64, 'optimizer': 'adam'};94.70%;90.47%;99.93%;94.97%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.1, 'lr': 0.0001, 'neuron': 128, 'optimizer': 'adam'};95.47%;91.74%;99.93%;95.66%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 32, 'optimizer': 'adam'};92.83%;88.20%;98.89%;93.24%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 64, 'optimizer': 'adam'};93.11%;89.83%;97.23%;93.38%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.01, 'neuron': 128, 'optimizer': 'adam'};92.87%;89.38%;97.30%;93.17%
RandomOverSampler;{'batch_size': 128, 'bilstm_neuron': 32, 'dropout_rate': 0.2, 'lr': 0.001, 'neuron': 32, 'optimizer': 'adam'};94.67%;91.72%;98.20%;94.85%
